il_basin_shape_G_ExportTable.OBJECTID,il_basin_shape_G_ExportTable.IN_FID,il_basin_shape_G_ExportTable.NEAR_FID,il_basin_shape_G_ExportTable.NEAR_DIST,il_basin_shape_G_ExportTable.NEAR_RANK,il_basin_shape_G_ExportTable.FROM_X,il_basin_shape_G_ExportTable.FROM_Y,il_basin_shape_G_ExportTable.NEAR_X,il_basin_shape_G_ExportTable.NEAR_Y,il_basin_shape_G_ExportTable.FID,il_basin_shape_G_ExportTable.gauge_id,IMS_stations_lla_pint.OBJECTID,IMS_stations_lla_pint.stationId,IMS_stations_lla_pint.latitude,IMS_stations_lla_pint.longitude
175,23,50,0.020053639588911,3,35.5159848281906,32.9053871592373,35.5330000000001,32.9160000000001,23,il_31110,50,123,32.916,35.533
176,23,44,0.0547953667380717,4,35.4251710654367,32.8825973028255,35.374,32.8630000000001,23,il_31110,44,99,32.863,35.374
177,23,133,0.0550308381542118,5,35.4251710654367,32.8825973028255,35.3741000000001,32.8621000000001,23,il_31110,133,319,32.8621,35.3741
178,23,68,0.0580079417894753,6,35.5257192937614,32.8600633992632,35.5790000000001,32.883,23,il_31110,68,233,32.883,35.579
179,23,142,0.0583905830925123,7,35.5257192937614,32.8600633992632,35.5792000000001,32.8835,23,il_31110,142,330,32.8835,35.5792
180,23,155,0.0755701884448093,8,35.5106878112419,32.9823823569796,35.5735,33.0244000000001,23,il_31110,155,353,33.0244,35.5735
181,23,156,0.0755701884448093,8,35.5106878112419,32.9823823569796,35.5735,33.0244000000001,23,il_31110,156,354,33.0244,35.5735
182,23,48,0.0841109913738259,9,35.5252700289315,32.8564790098214,35.599,32.816,23,il_31110,48,115,32.816,35.599
183,23,113,0.0870892526278285,10,35.4132205253705,32.9769956832321,35.3287,32.9560000000001,23,il_31110,113,298,32.956,35.3287
184,23,87,0.0877687681284832,11,35.4132205253705,32.9769956832321,35.328,32.9560000000001,23,il_31110,87,269,32.956,35.328
